DEPTH,DENSITY,DENPOR,GAMMA,NEUTRON,INDEX
m,g/m3,%,API,API,Rock types
3131.5,2.89,3.17,6.49,630.48,Basalt
3132,2.9,2.49,6.47,634.33,Basalt
3132.5,2.91,2.08,6.81,634.47,Basalt
3133,2.92,1.46,7.16,635.02,Basalt
3133.5,2.95,0.2,7.58,634.6,Basalt
3138,2.94,0.25,10.98,896.41,Basalt
3141.5,2.95,0.13,10.3,1024.85,Basalt
3142,2.92,1.42,10.64,993.58,Basalt
3142.5,2.91,1.68,11.13,960.23,Basalt
3143,2.94,0.64,11.74,928.23,Basalt
3145.5,2.89,2.84,10.07,721.82,Basalt
3146,2.77,8.95,9,696.73,Basalt
3146.5,2.67,14.28,8.26,685.01,Basalt
3147,2.61,17.2,7.83,680.36,Basalt
3147.5,2.61,17.61,7.9,676.56,Basalt
3148,2.62,16.7,8.09,669.57,Basalt
3148.5,2.65,15.59,8.39,658.99,Basalt
3149,2.66,14.73,8.79,648.44,Basalt
3149.5,2.67,14.1,9.43,640.33,Basalt
3150,2.67,14.23,10.3,627.53,Basalt
3150.5,2.65,15.28,11.39,602.77,Basalt
3151,2.63,16.36,12.62,566.14,Basalt
3151.5,2.63,16.47,13.44,529.57,Basalt
3152,2.65,15.64,13.26,505.04,Basalt
3152.5,2.67,14.59,12.23,499.15,Basalt
3153,2.69,13.41,11.23,509.14,Basalt
3153.5,2.72,11.88,10.58,525.58,Basalt
3154,2.76,10.02,10.3,537.14,Basalt
3154.5,2.79,8.12,10.18,537.07,Basalt
3155,2.83,6.44,10.71,527.48,Basalt
3155.5,2.86,4.71,11.32,518.29,Basalt
3156,2.89,3.13,11.71,517.65,Basalt
3156.5,2.92,1.62,11.5,526.62,Basalt
3157,2.95,0.12,11.34,535.58,Basalt
3165,2.87,4,12.34,948.18,Basalt
3165.5,2.75,10.14,12.84,919.09,Basalt
3166,2.61,17.56,12.94,877.48,Basalt
3166.5,2.47,24.58,12.8,835.28,Basalt
3167,2.37,29.51,12.43,798.17,Basalt
3167.5,2.33,31.83,12.2,767.63,Basalt
3168,2.33,31.83,11.83,742.57,Basalt
3168.5,2.36,30.38,11.52,722.05,Basalt
3169,2.4,28.29,11.59,701.81,Basalt
3169.5,2.44,26.35,12.12,674.52,Basalt
3170,2.46,25.06,12.83,634.88,Basalt
3170.5,2.48,24.38,13.46,581.81,Basalt
3171,2.48,24.31,14.19,524.49,Basalt
3171.5,2.47,24.72,15.42,476,Basalt
3172,2.46,25.34,16.88,447.51,Basalt
3172.5,2.46,25.22,18.03,441.27,Basalt
3173,2.49,23.62,17.9,453.39,Basalt
3173.5,2.55,20.68,16.6,474.65,Basalt
3174,2.61,17.46,14.8,492.05,Basalt
3174.5,2.65,15.45,13.27,496.73,Basalt
3175,2.63,16.41,12.12,490.34,Basalt
3175.5,2.52,21.91,11.24,482.61,Basalt
3176,2.37,29.7,10.69,478.81,Basalt
3176.5,2.26,35.46,10.52,476.94,Basalt
3177,2.23,37.02,10.51,475.01,Basalt
3177.5,2.28,34.45,10.3,474.56,Basalt
3178,2.38,29.24,10.03,479.1,Basalt
3179.5,2.61,17.26,11.72,493.85,Basalt
3180,2.67,14.51,15.51,478.26,Basalt
3180.5,2.74,10.79,21.29,446.7,Basalt
3181,2.81,7.02,26.33,411.83,Basalt
3181.5,2.87,4.28,26.84,394.44,Basalt
3182,2.91,2.23,22.67,405.58,Basalt
3182.5,2.94,0.44,16.98,436.36,Basalt
3184.5,2.93,0.95,8.31,507.35,Basalt
3185,2.91,1.69,8.27,526.99,Basalt
3187,2.84,5.44,11.27,633.55,Basalt
3187.5,2.77,9.28,10.89,663.35,Basalt
3188,2.71,12.35,10.36,696.53,Basalt
3188.5,2.68,13.56,9.9,730.46,Basalt
3189,2.68,13.82,9.57,763.09,Basalt
3189.5,2.65,15.13,9.17,784.98,Basalt
3190,2.58,18.95,8.79,789.79,Basalt
3190.5,2.46,25.27,8.85,781.45,Basalt
3191,2.33,31.71,9.74,764.77,Basalt
3191.5,2.26,35.42,11.58,735.58,Basalt
3192,2.27,34.86,13.55,691,Basalt
3192.5,2.36,30.16,14.94,648.81,Basalt
3193,2.5,22.88,15.26,626.09,Basalt
3193.5,2.63,16.11,15.26,612.93,Basalt
3194,2.68,13.54,15.06,583.47,Basalt
3194.5,2.61,17.11,14.79,530.69,Basalt
3195,2.44,25.92,13.98,472.57,Basalt
3195.5,2.25,35.63,13.21,427.18,Basalt
3196,2.1,43.56,13.2,400.66,Basalt
3196.5,1.99,49.37,14.13,395.6,Basalt
3199,2.16,40.69,10.24,465.8,Basalt
3199.5,2.22,37.65,10.08,438.2,Basalt
3200,2.22,37.38,10.6,404.56,Basalt
3200.5,2.19,38.88,11.42,380.61,Basalt
3201,2.15,41.24,11.93,374.05,Basalt
3201.5,2.09,44.3,12.16,373.45,Basalt
3202,2.02,47.45,12.28,365.86,Basalt
3202.5,1.98,49.66,12.83,351.49,Basalt
3203,1.97,50.27,13.55,341.31,Basalt
3203.5,1.98,49.4,14.16,338.75,Basalt
3204,2.01,48.14,14.83,340.37,Basalt
3204.5,2.01,48.04,16.06,342.12,Basalt
3205,1.98,49.58,17.43,343.96,Basalt
3205.5,1.96,50.85,17.6,343.84,Basalt
3206,1.98,49.75,15.9,338.98,Basalt
3211.5,2.54,21.18,16.51,415.68,Basalt
3212,2.58,19.1,15.25,437.86,Basalt
3212.5,2.61,17.54,14.6,450.32,Basalt
3213,2.6,17.83,14.22,457.26,Basalt
3213.5,2.57,19.64,13.49,461.16,Basalt
3214,2.53,21.45,12.91,462,Basalt
3214.5,2.52,22.2,12.33,460.66,Basalt
3215,2.52,22.29,11.93,460.74,Basalt
3215.5,2.51,22.46,11.59,464.27,Basalt
3216,2.5,23.14,11.45,469.11,Basalt
3216.5,2.48,24.07,11.67,472.74,Basalt
3217,2.46,24.89,12.72,475.33,Basalt
3217.5,2.45,25.69,15.93,482.5,Basalt
3218,2.43,26.64,22.77,501.97,Basalt
3218.5,2.41,27.8,33.29,539.84,Basalt
3219,2.38,28.9,45.07,592.85,Basalt
3219.5,2.37,29.58,54.44,643.96,Basalt
3220,2.37,29.46,60.16,672.98,Basalt
3220.5,2.39,28.53,63.63,673.47,Siltstone
3221,2.42,27.44,66.68,658.98,Siltstone
3221.5,2.42,27.08,69.39,646.04,Siltstone
3222,2.41,27.85,71.42,637.78,Siltstone
3222.5,2.38,29.37,72.95,627.63,Siltstone
3223,2.35,30.96,73.98,613.62,Siltstone
3223.5,2.32,32.28,73.67,602.16,Siltstone
3224,2.3,33.31,71.2,602.33,Siltstone
