Depth,GR, Temp,Pressure,Rd,Rs,Vp,Vs,INDEX
m,API,C,Mpa,Ohmm,Ohmm,m/s,m/s,Rock types
741.34,17.0439,14.8629,6.46439,482.046,534.145,-999.25,-999.25,Basalt
741.44,17.3338,14.8629,6.46537,474.844,516.727,-999.25,-999.25,Basalt
741.54,17.8216,14.863,6.46631,384.825,423.548,-999.25,-999.25,Basalt
741.64,18.273,14.8632,6.46733,274.964,320.432,-999.25,-999.25,Basalt
741.74,18.4708,14.8636,6.46828,210.649,260.895,-999.25,-999.25,Basalt
741.84,18.3114,14.864,6.46934,200.264,242.826,-999.25,-999.25,Basalt
741.94,18.0141,14.8645,6.47021,208.206,235.504,-999.25,-999.25,Basalt
742.04,17.9033,14.8648,6.47117,207.715,225.841,-999.25,-999.25,Basalt
742.14,18.1365,14.865,6.47214,200.59,222.964,-999.25,-999.25,Basalt
742.24,18.6796,14.8651,6.4731,199.674,236.869,-999.25,-999.25,Basalt
742.34,19.3326,14.8651,6.4741,220.309,277.406,-999.25,-999.25,Basalt
742.44,19.8247,14.8651,6.47508,282.999,362.882,-999.25,-999.25,Basalt
742.54,20.0026,14.8651,6.476,398.906,503.921,-999.25,-999.25,Basalt
742.64,19.966,14.8651,6.47694,549.495,674.802,-999.25,-999.25,Basalt
742.74,19.8769,14.8651,6.47783,682.777,812.471,-999.25,-999.25,Basalt
742.84,19.8821,14.8651,6.47867,739.941,856.556,-999.25,-999.25,Basalt
742.94,20.1112,14.8651,6.47955,697.534,797.94,-999.25,-999.25,Basalt
743.04,20.569,14.8651,6.48054,595.441,695.702,-999.25,-999.25,Basalt
743.14,21.1219,14.865,6.48151,517.114,640.632,-999.25,-999.25,Basalt
743.24,21.6612,14.8649,6.48248,528.046,687.267,-999.25,-999.25,Basalt
743.34,22.097,14.8647,6.48343,621.045,809.723,-999.25,-999.25,Basalt
743.44,22.4307,14.8646,6.48436,731.594,933.394,-999.25,-999.25,Basalt
743.54,22.5855,14.8646,6.48528,814.798,1014.59,-999.25,-999.25,Basalt
743.64,22.4145,14.8646,6.48629,883.592,1067.46,-999.25,-999.25,Basalt
743.74,21.8619,14.8647,6.48722,970.646,1122.39,-999.25,-999.25,Basalt
743.84,21.0878,14.8649,6.48816,1086.05,1185.12,-999.25,-999.25,Basalt
743.94,20.4076,14.865,6.48921,1210.01,1233.19,-999.25,-999.25,Basalt
744.04,20.0718,14.8651,6.49015,1299.35,1231.21,-999.25,-999.25,Basalt
744.14,20.1051,14.8651,6.49104,1306.93,1153.97,-999.25,-999.25,Basalt
744.24,20.4166,14.8651,6.49198,1219.18,1007.76,-999.25,-999.25,Basalt
744.34,20.8455,14.8651,6.49304,1057.46,821.576,-999.25,-999.25,Basalt
744.44,21.2306,14.8651,6.49391,846.316,621.915,-999.25,-999.25,Basalt
744.54,21.4099,14.8651,6.49484,603.432,426.473,-999.25,-999.25,Basalt
744.64,21.4334,14.8651,6.49579,369.395,265.06,-999.25,-999.25,Basalt
744.74,21.5009,14.8651,6.49665,209.537,174.744,-999.25,-999.25,Basalt
744.84,21.63,14.8652,6.49767,152.421,156.958,-999.25,-999.25,Basalt
744.94,21.7276,14.8654,6.49855,158.171,171.035,-999.25,-999.25,Basalt
745.04,21.7066,14.8656,6.49951,171.957,181.894,-999.25,-999.25,Basalt
745.14,21.6005,14.866,6.50041,181.723,191.27,-999.25,-999.25,Basalt
745.24,21.6163,14.8663,6.50138,203.405,213.641,-999.25,2003.21,Basalt
745.34,21.7646,14.8666,6.5023,241.745,245.616,-999.25,1913.27,Basalt
745.44,21.8251,14.8669,6.50327,278.847,266.338,3396.74,1897.77,Basalt
745.54,21.5158,14.8672,6.50422,286.188,257.683,3324.47,2083.33,Basalt
745.64,20.6839,14.8674,6.50513,253.727,225.123,3255.21,1977.85,Basalt
745.74,19.3885,14.8675,6.50608,209.482,200.758,3277.97,2295.5,Basalt
745.84,17.8546,14.8676,6.50702,195.875,215.096,3232.76,2295.5,Basalt
745.94,16.3729,14.8677,6.50796,222.672,261.407,3324.47,2295.5,Basalt
746.04,15.1588,14.8677,6.50888,256.145,299.987,3578.24,2387.67,Basalt
746.14,14.3856,14.8677,6.50979,261.01,304.112,3524.44,2472.77,Basalt
746.24,14.2424,14.8677,6.51074,243.148,293.204,3873.97,2492.51,Basalt
746.34,14.7643,14.8678,6.51166,242.784,310.431,3145.97,2492.51,Basalt
746.44,15.9078,14.868,6.5126,287.906,369.301,3498.13,2472.77,Basalt
746.54,17.4133,14.8683,6.51359,362.74,438.451,3551.14,2472.77,Basalt
746.64,18.8141,14.8688,6.5146,426.017,481.79,3372.3,2527.83,Basalt
746.74,19.6933,14.8693,6.51556,452.762,496.038,3633.72,2507.53,Basalt
746.84,19.9314,14.8697,6.51651,452.932,503.044,3605.77,2438.96,Basalt
746.94,19.7029,14.8701,6.51746,451.661,517.735,3633.72,2438.96,Basalt
747.04,19.4081,14.8702,6.51842,459.452,534.735,3690.94,2472.77,Basalt
747.14,19.3774,14.8701,6.51936,468.939,543.645,3255.21,2507.53,Basalt
747.24,19.6395,14.87,6.52033,473.252,544.965,3775.87,2543.28,Basalt
747.34,19.914,14.8699,6.52121,475.436,546.749,3809.59,2618.71,Basalt
747.44,19.888,14.8699,6.52213,481.269,554.229,4715.36,2561.48,Basalt
747.54,19.4338,14.8699,6.52312,492.038,567.804,3829.9,2533.78,Basalt
747.64,18.6921,14.87,6.52404,507.4,587.371,4124.38,2561.48,Basalt
747.74,17.913,14.8702,6.52499,530.305,615.869,4110.03,2663.35,Basalt
747.84,17.3602,14.8703,6.52595,564.012,656.964,4251.49,2520.16,Basalt
747.94,17.2775,14.8703,6.52693,606.417,709.905,4529.94,2493.35,Basalt
748.04,17.8457,14.8704,6.52785,652.824,768.471,4595.59,2648.3,Basalt
748.14,18.9313,14.8704,6.52882,700.611,822.311,4689.37,2618.71,Basalt
748.24,20.1511,14.8704,6.5298,746.905,861.206,4714.03,2332.09,Basalt
748.34,21.2335,14.8704,6.53069,782.442,880.697,4665.22,2561.48,Basalt
748.44,22.0655,14.8704,6.53164,793.396,883.356,4652.82,2575.55,Basalt
748.54,22.637,14.8704,6.53258,777.054,877.049,4846.29,3024.19,Basalt
748.64,22.9481,14.8704,6.53354,750.026,869.672,4995.75,3185.59,Basalt
748.74,22.9462,14.8704,6.53445,732.84,862.928,4947.92,3185.59,Basalt
748.84,22.5884,14.8704,6.53539,731.511,856.521,4930.87,3185.59,Basalt
748.94,21.9347,14.8704,6.53634,741.945,859.148,4857.64,3145.97,Basalt
749.04,21.1284,14.8704,6.53726,764.578,884.8,4882.81,3277.97,Basalt
749.14,20.3218,14.8704,6.53823,803.143,934.541,4978.63,3277.97,Basalt
749.24,19.705,14.8704,6.53914,851.028,989.233,5124.33,3167.23,Basalt
749.34,19.2542,14.8704,6.54008,892.565,1028.24,4979.74,2948.11,Basalt
749.44,18.8207,14.8704,6.541,921.027,1050.73,4641.54,2773.67,Basalt
749.54,18.4831,14.8704,6.54192,944.786,1070.76,4706.58,3277.97,Basalt
749.64,18.6396,14.8706,6.54288,971.407,1094.8,4808.83,2678.57,Basalt
749.74,19.6917,14.8707,6.54386,995.997,1115.27,4829.5,3301.06,Basalt
749.84,21.5743,14.8708,6.54477,1009,1123.71,4973.18,3218.43,Basalt
749.94,23.7005,14.8709,6.54574,1009.07,1121.59,4778.31,3218.43,Basalt
750.04,25.2642,14.8709,6.54668,1005.75,1119.32,4557.67,3218.43,Basalt
750.14,25.736,14.871,6.54765,1010.7,1126.73,4785.37,2945.17,Basalt
750.24,25.2144,14.8712,6.5486,1027.66,1145.03,4911.5,2945.17,Basalt
750.34,24.2373,14.8715,6.54954,1051.75,1168.38,4812.71,2945.17,Basalt
750.44,23.4549,14.8719,6.55046,1078.15,1191.91,4784.39,2945.17,Basalt
750.54,23.2529,14.8722,6.55142,1107.35,1215.58,4306.6,2945.17,Basalt
750.64,23.417,14.8724,6.55231,1139.67,1238.84,4658.08,3023.61,Basalt
750.74,23.5566,14.8723,6.55332,1165.82,1252.18,5033.22,3098.64,Basalt
750.84,23.3855,14.8721,6.55429,1164.02,1234.5,5580.36,3153.41,Basalt
750.94,22.9616,14.8718,6.55525,1113.38,1169.17,5483.64,3185.59,Basalt
751.04,22.5107,14.8717,6.55622,1018.94,1070.25,5577.47,3446.69,Basalt
751.14,22.2174,14.8717,6.55711,920.62,984.66,5362.82,3210.62,Basalt
751.24,22.0104,14.872,6.55805,867.027,957.111,5327.68,3421.53,Basalt
751.34,21.7745,14.8722,6.55898,877.281,994.189,5329.46,3301.06,Basalt
751.44,21.3981,14.8725,6.55993,933.158,1068.66,5364.8,3324.47,Basalt
751.54,20.7631,14.8728,6.56085,1003.88,1149.93,5515.47,3232.76,Basalt
751.64,19.8315,14.8729,6.5618,1062.98,1213.23,5412.44,3232.76,Basalt
751.74,18.8278,14.873,6.56274,1090.02,1240.34,5275.12,3348.21,Basalt
751.84,18.1161,14.8731,6.56369,1089.35,1245.42,5453.53,3301.06,Basalt
751.94,18.0019,14.8733,6.56464,1105.74,1282.53,5380.24,3232.76,Basalt
752.04,18.4885,14.8734,6.56558,1185.8,1390.17,5208.33,3210.62,Basalt
752.14,19.2944,14.8735,6.56656,1317.66,1536.07,5248.78,3188.78,Basalt
752.24,20.016,14.8734,6.56749,1435.69,1646.42,5348.75,3348.21,Basalt
752.34,20.4349,14.8733,6.56846,1491.08,1683.39,5124.33,3396.74,Basalt
752.44,20.6092,14.8731,6.56945,1494.88,1670.71,5237.59,3396.74,Basalt
752.54,20.8688,14.873,6.57034,1487.2,1649.5,5208.33,3372.3,Basalt
752.64,21.5529,14.873,6.57126,1485.65,1633.56,4961.91,2648.3,Basalt
752.74,22.6015,14.873,6.5722,1478.75,1613.14,4482.7,2678.57,Basalt
752.84,23.5225,14.8731,6.57318,1452.07,1579.33,4631.83,2693.97,Basalt
752.94,23.8128,14.8733,6.57415,1406.32,1536.3,5029.3,2618.71,Basalt
753.04,23.2251,14.8734,6.57515,1357.18,1493.93,4861.97,2663.35,Basalt
753.14,21.9719,14.8735,6.5761,1321.91,1453.99,5580.64,2604.17,Basalt
753.24,20.4467,14.8735,6.57703,1302.79,1410.6,5341.9,2858.23,Basalt
753.34,18.9414,14.8735,6.57795,1286.69,1363.59,4901.96,3024.19,Basalt
753.44,17.5955,14.8735,6.5789,1262.68,1324.47,5120.85,2929.69,Basalt
753.54,16.5445,14.8735,6.57984,1237.43,1312.3,5257.28,2929.69,Basalt
753.64,15.9424,14.8736,6.58074,1233.76,1347.03,5459.11,2948.11,Basalt
753.74,15.9823,14.8736,6.58167,1274.64,1435.92,5298.13,2948.11,Basalt
753.84,16.6913,14.8736,6.58262,1361.91,1556.05,5320.04,2948.11,Basalt
753.94,17.9292,14.8737,6.58358,1462.02,1656.64,5484.14,2948.11,Basalt
754.04,19.427,14.8738,6.5845,1519.46,1689.29,5515.47,2948.11,Basalt
754.14,20.9597,14.874,6.58552,1497.83,1640.29,5487.45,2948.11,Basalt
754.24,22.3786,14.8743,6.58645,1411.95,1539.36,5361.52,2966.77,Basalt
754.34,23.5419,14.8744,6.5874,1314.43,1439.94,5329.46,2985.67,Basalt
754.44,24.2466,14.8745,6.58836,1253.39,1389.74,5307.24,2966.77,Basalt
754.54,24.2269,14.8745,6.58931,1247.84,1407.1,5045.57,2929.69,Basalt
754.64,23.3574,14.8746,6.59026,1292.27,1470.6,4833.82,2790.18,Basalt
754.74,21.8636,14.8746,6.59125,1361.9,1531.37,4689.38,2725.29,Basalt
754.84,20.1942,14.8748,6.59219,1419.63,1549.31,4508.88,2506.68,Basalt
754.94,18.9256,14.8751,6.5931,1439.58,1523.6,4528.3,2454.19,Basalt
755.04,18.5202,14.8753,6.59403,1431.97,1487.73,4628.54,2648.3,Basalt
755.14,19.0274,14.8755,6.59498,1435.23,1476.12,4577.93,2547.55,Basalt
755.24,20.2201,14.8756,6.59596,1482.46,1496.43,4559.13,2533.78,Basalt
755.34,21.7112,14.8756,6.59687,1566.56,1522.18,4618.34,2648.3,Sedimentary rocks
755.44,23.0237,14.8756,6.59778,1624.24,1499.78,4618.34,2663.35,Sedimentary rocks
755.54,23.8188,14.8756,6.59876,1569.49,1378.74,4893.2,2604.17,Sedimentary rocks
755.64,23.8779,14.8757,6.59974,1364.83,1155.23,5765.27,2575.55,Basalt
755.74,23.1203,14.8758,6.60067,1057.3,880.876,5617.02,2493.35,Basalt
755.84,21.7668,14.8759,6.60165,739.202,623.457,3939.08,1994.68,Basalt
755.94,20.3162,14.876,6.60258,487.146,432.297,3780.24,1977.85,Basalt
756.04,19.2271,14.8761,6.60351,336.609,330.975,3277.97,2111.49,Basalt
756.14,18.6998,14.876,6.60444,290.874,318.079,3277.97,2111.49,Basalt
756.24,18.6603,14.876,6.60534,326.073,363.48,3277.97,2111.49,Basalt
756.34,18.7528,14.8761,6.60634,397.415,421.889,3605.77,1867.53,Basalt
756.44,18.5063,14.8762,6.60734,463.536,463.339,3277.97,1945.02,Basalt
756.54,17.685,14.8764,6.60825,507.675,483.008,3372.3,1929.01,Basalt
756.64,16.3541,14.8766,6.60923,530.058,484.878,3145.97,1929.01,Basalt
756.74,14.9167,14.8767,6.6102,536.259,473.734,3063.73,1875,Basalt
756.84,14.1628,14.8767,6.61112,525.921,449.966,3232.76,1838.24,Basalt
756.94,14.7735,14.8766,6.61204,481.946,401.196,3396.74,1921.11,Basalt
757.04,16.7392,14.8766,6.61299,385.555,313.831,3780.24,2003.21,Basalt
