Depth,GR,TEMP1,TEMP2,P,Rmud,Rd,Rs,Th,U,K,Vp,Vs,Vw,INDEX
m,API,C,C,MPa,Ohmm,Ohmm,Ohmm,ppm,ppm,%,m/s,m/s,m/s,Rock types
1257.4,19.637,98.2207,98.2121,11.287,1.66412,3.77176,4.43735,1.22022,1.22054,0.75994,3100.57,2128.92,1230.9,Sedimentary rocks
1257.5,18.8788,98.2283,98.2254,11.288,1.66425,3.72422,4.51448,1.20914,1.30385,0.69603,3104.3,2131.56,1229.73,Sedimentary rocks
1257.6,18.0939,98.237,98.2387,11.2889,1.66425,3.77042,4.66156,1.17823,1.30728,0.65837,3109.92,2141.3,1229.14,Sedimentary rocks
1257.7,17.4065,98.2458,98.2521,11.2899,1.66362,3.88241,4.7475,1.16806,1.18727,0.65217,3121.22,2152.92,1230.61,Sedimentary rocks
1257.8,16.8062,98.2539,98.2521,11.2908,1.66333,3.94745,4.71404,1.25971,0.95132,0.67159,3130.69,2155.62,1232.37,Sedimentary rocks
1257.9,16.2977,98.2608,98.2654,11.2918,1.66353,3.90389,4.61781,1.34852,0.72861,0.69708,3136.4,2152.02,1232.96,Sedimentary rocks
1258,15.943,98.2673,98.2654,11.2928,1.66328,3.80755,4.54232,1.19612,0.68524,0.71433,3119.33,2146.65,1233.55,Sedimentary rocks
1258.1,15.8023,98.2739,98.2787,11.2937,1.66358,3.76409,4.53699,0.52698,0.94617,0.72001,3091.28,2132.44,1244.27,Sedimentary rocks
1258.2,15.8953,98.2815,98.2787,11.2947,1.66345,3.81157,4.61013,-999.25,1.45908,0.7183,3067.37,2118.43,1241.27,Sedimentary rocks
1258.3,16.1456,98.29,98.292,11.2956,1.66316,3.87293,4.69799,-999.25,2.00793,0.71578,3052.84,2124.54,1236.81,Sedimentary rocks
1258.4,16.5366,98.299,98.292,11.2966,1.6629,3.84475,4.70057,-999.25,2.38567,0.71331,3047.43,2135.98,1236.51,Sedimentary rocks
1258.5,17.1417,98.308,98.3053,11.2975,1.6627,3.74332,4.63352,-999.25,2.46967,0.70571,3042.04,2125.41,1238,Sedimentary rocks
1258.6,17.8845,98.317,98.3053,11.2985,1.66278,3.71439,4.65968,-999.25,2.26294,0.69331,3036.66,2124.54,1237.7,Sedimentary rocks
1258.7,18.6515,98.3257,98.3186,11.2994,1.6624,3.86936,4.88847,-999.25,1.84155,0.69854,3033.09,2117.56,1236.51,Sedimentary rocks
1258.8,19.2959,98.3335,98.3319,11.3004,1.66236,4.15307,5.21531,0.13507,1.25678,0.75527,3020.65,2099.45,1233.85,Sedimentary rocks
1258.9,19.7502,98.3405,98.3452,11.3013,1.66278,4.39312,5.41025,1.10028,0.5886,0.86492,3010.07,2099.45,1230.61,Sedimentary rocks
1259,20.1774,98.3482,98.3586,11.3023,1.66248,4.45072,5.3502,1.91193,-999.25,0.99516,3008.31,2101.16,1230.61,Sedimentary rocks
1259.1,21.0961,98.3577,98.3586,11.3033,1.66232,4.3118,5.11124,2.60766,-999.25,1.10047,3017.12,2108.9,1228.85,Sedimentary rocks
1259.2,22.9814,98.3685,98.3719,11.3042,1.66173,4.05902,4.84412,3.20039,-999.25,1.1498,3038.45,2116.69,1216.38,Sedimentary rocks
1259.3,25.869,98.3787,98.3852,11.3051,1.66177,3.82986,4.68575,3.54273,-999.25,1.14506,3049.23,2115.82,1217.82,Sedimentary rocks
1259.4,29.3656,98.387,98.3852,11.3061,1.66139,3.79196,4.75913,3.50415,0.35194,1.11821,3051.04,2111.49,1219.55,Sedimentary rocks
1259.5,32.772,98.3941,98.3985,11.3071,1.66152,4.01993,5.05553,3.18855,1.10498,1.10888,3043.83,2111.49,1216.67,Sedimentary rocks
1259.6,35.3146,98.4015,98.4118,11.308,1.6611,4.35374,5.31512,2.84644,1.64618,1.1541,3036.66,2114.95,1214.09,Sedimentary rocks
1259.7,36.5872,98.4101,98.4118,11.309,1.66106,4.49351,5.22367,2.69029,1.78985,1.27062,3025.97,2105.45,1212.38,Sedimentary rocks
1259.8,36.6561,98.4189,98.4252,11.31,1.66085,4.28303,4.74675,2.78673,1.58407,1.42591,3011.83,2101.16,1210.67,Sedimentary rocks
1259.9,35.8908,98.4268,98.4252,11.3109,1.66069,3.86026,4.18497,2.98491,1.27352,1.55396,2997.82,2111.49,1208.68,Sedimentary rocks
1260,34.7246,98.4339,98.4385,11.3118,1.66082,3.49624,3.84586,3.07048,1.07032,1.60561,2987.4,2106.31,1208.12,Sedimentary rocks
1260.1,33.4008,98.4414,98.4518,11.3128,1.66077,3.32307,3.73706,2.91307,1.04766,1.56257,2973.62,2094.33,1206.42,Sedimentary rocks
1260.2,31.8058,98.4498,98.4518,11.3138,1.66031,3.29484,3.6824,2.53382,1.15717,1.43124,2968.48,2084.18,1203.04,Sedimentary rocks
1260.3,29.8794,98.4588,98.4651,11.3147,1.65998,3.32755,3.62347,2.04636,1.3084,1.24216,2956.57,2076.62,1198.85,Sedimentary rocks
1260.4,27.8114,98.4678,98.4651,11.3157,1.66027,3.35485,3.63305,1.68181,1.38998,1.043,2944.75,2065.81,1197.46,Sedimentary rocks
1260.5,25.7118,98.4767,98.4784,11.3166,1.6599,3.2984,3.72678,1.5733,1.35986,0.87682,2944.75,2060.03,1199.69,Sedimentary rocks
1260.6,23.5805,98.4855,98.4784,11.3176,1.66006,3.1161,3.79976,1.66291,1.24874,0.7684,2949.8,2058.38,1199.96,Sedimentary rocks
1260.7,21.3965,98.4944,98.4784,11.3185,1.65977,2.86531,3.75621,1.86901,1.07241,0.71856,2954.87,2046.13,1199.96,Sedimentary rocks
1260.8,19.2724,98.5033,98.4918,11.3195,1.65952,2.66474,3.6342,2.17945,0.84573,0.70078,2959.96,2044.51,1196.9,Sedimentary rocks
1260.9,17.4492,98.5121,98.5051,11.3204,1.65952,2.60113,3.55402,2.61185,0.57501,0.68761,2941.39,2034.83,1192.2,Sedimentary rocks
1261,16.1481,98.5211,98.5184,11.3213,1.65927,2.66466,3.56398,3.13594,0.3076,0.65815,2928.02,2011.8,1192.2,Sedimentary rocks
1261.1,15.5958,98.5299,98.5317,11.3223,1.65898,2.75552,3.60811,3.59298,0.1676,0.59779,2926.36,2001.65,1191.09,Sedimentary rocks
1261.2,15.8219,98.5388,98.545,11.3232,1.65906,2.78911,3.61807,3.80167,0.25308,0.51177,2928.02,2000.1,1190.82,Sedimentary rocks
1261.3,16.6008,98.5477,98.5583,11.3242,1.65902,2.77392,3.57499,3.66099,0.55457,0.42449,2921.39,1994.68,1191.37,Sedimentary rocks
1261.4,17.4709,98.5567,98.5717,11.3251,1.65885,2.79047,3.49768,3.25462,0.94726,0.35999,2919.73,2000.1,1193.02,Sedimentary rocks
1261.5,17.9942,98.5655,98.585,11.3261,1.65889,2.89366,3.43136,2.86366,1.24617,0.327,2919.73,1999.32,1191.09,Sedimentary rocks
1261.6,18.0145,98.5733,98.5983,11.327,1.6586,3.04539,3.44145,2.84594,1.29684,0.31728,2918.08,2000.87,1188.9,Sedimentary rocks
1261.7,17.6556,98.5804,98.5983,11.3279,1.65847,3.14643,3.54879,3.41792,1.05198,0.31267,2909.85,1990.06,1188.08,Sedimentary rocks
1261.8,17.0948,98.5879,98.6116,11.3289,1.65852,3.13172,3.68116,4.4355,0.60788,0.30443,2906.57,1998.55,1186.44,Sedimentary rocks
1261.9,16.448,98.5963,98.6249,11.3298,1.65835,3.04545,3.75279,5.50174,0.12737,0.29787,2903.29,1995.45,1187.8,Sedimentary rocks
1262,15.7265,98.6053,98.6382,11.3308,1.65806,3.0046,3.75454,6.19693,-999.25,0.3001,2923.04,2008.67,1190.82,Sedimentary rocks
1262.1,14.9596,98.6143,98.6383,11.3318,1.65777,3.06935,3.72518,6.28006,-999.25,0.3102,2944.75,2034.02,1190.27,Sedimentary rocks
1262.2,14.2634,98.6233,98.6516,11.3327,1.65777,3.16981,3.69386,5.76409,-999.25,0.31941,2949.8,2037.24,1191.37,Sedimentary rocks
1262.3,13.9383,98.632,98.6516,11.3337,1.65772,3.18929,3.6885,4.85616,0.03211,0.31964,2953.18,2042.08,1191.37,Sedimentary rocks
1262.4,14.3594,98.6398,98.6516,11.3346,1.65747,3.10072,3.73289,3.90111,0.38976,0.31533,2965.07,2055.92,1192.2,Sedimentary rocks
1262.5,15.7203,98.6469,98.6649,11.3355,1.65743,2.97784,3.78537,3.23221,0.655376,0.321632,2980.49,2051.01,1193.85,Sedimentary rocks
1262.6,17.6978,98.6545,98.6782,11.3365,1.65718,2.9099,3.76309,2.97288,0.7505,0.34865,2994.34,2060.03,1196.62,Sedimentary rocks
1262.7,19.6647,98.663,98.6782,11.3375,1.65702,2.93148,3.66167,3.07724,0.67174,0.3958,2997.82,2060.85,1197.46,Sedimentary rocks
1262.8,21.0138,98.6718,98.6915,11.3384,1.65702,3.01226,3.57674,3.35974,0.4909,0.45503,3003.06,2072.45,1199.69,Sedimentary rocks
1262.9,21.4808,98.6799,98.6915,11.3393,1.65685,3.09096,3.56784,3.5759,0.32448,0.51243,3004.81,2065.81,1199.97,Sedimentary rocks
1263,21.2511,98.6869,98.7049,11.3403,1.65693,3.12642,3.58163,3.53515,0.25514,0.56306,3017.11,2067.46,1201.92,Sedimentary rocks
1263.1,20.7951,98.6933,98.7181,11.3413,1.65677,3.12055,3.56176,3.26062,0.27087,0.60972,3029.52,2068.29,1205.01,Sedimentary rocks
1263.2,20.5331,98.6999,98.7181,11.3422,1.65635,3.10225,3.55412,2.9592,0.30185,0.64741,3042.04,2068.29,1207.84,Sedimentary rocks
1263.3,20.7108,98.7075,98.7315,11.3431,1.65623,3.10933,3.64398,2.81939,0.2946,0.66574,3056.46,2069.12,1209.54,Sedimentary rocks
1263.4,21.2576,98.716,98.7315,11.3441,1.65622,3.17111,3.83726,2.88196,0.24775,0.6574,3060.09,2069.95,1208.12,Sedimentary rocks
1263.5,21.8853,98.7249,98.7448,11.345,1.65618,3.2713,4.03391,3.02171,0.23004,0.61511,3065.55,2064.15,1208.68,Sedimentary rocks
1263.6,22.2108,98.7339,98.7448,11.346,1.65601,3.33947,4.13139,3.0329,0.31722,0.5467,3063.73,2054.28,1209.25,Sedimentary rocks
1263.7,22.0383,98.7427,98.7581,11.3469,1.6561,3.31563,4.11386,2.78846,0.53412,0.4727,3069.2,2063.33,1209.25,Sedimentary rocks
1263.8,21.3907,98.7516,98.7581,11.3479,1.65631,3.20719,4.02482,2.3079,0.84485,0.41442,3078.36,2074.95,1210.1,Sedimentary rocks
1263.9,20.4815,98.7605,98.7714,11.3489,1.65564,3.07102,3.91008,1.82703,1.13576,0.39045,3085.73,2076.62,1210.96,Sedimentary rocks
1264,19.6431,98.7695,98.7714,11.3498,1.65577,2.9752,3.81583,1.63871,1.28403,0.41594,3087.57,2080.81,1213.24,Sedimentary rocks
1264.1,19.1697,98.7782,98.7848,11.3507,1.6551,2.9807,3.79252,1.82975,1.25235,0.49759,3074.69,2083.33,1211.81,Sedimentary rocks
1264.2,19.3735,98.786,98.7848,11.3517,1.65493,3.1065,3.86636,2.25326,1.09986,0.62263,3056.46,2085.86,1207.55,Sedimentary rocks
1264.3,20.4496,98.7932,98.798,11.3527,1.65535,3.29027,4.00038,2.7004,0.94052,0.75504,3033.09,2074.11,1202.76,Sedimentary rocks
1264.4,22.171,98.8007,98.8114,11.3536,1.65489,3.4331,4.10071,3.0087,0.88491,0.85334,3022.42,2071.62,1201.92,Sedimentary rocks
1264.5,23.9855,98.8092,98.8114,11.3545,1.65477,3.50907,4.10615,3.12841,1.00794,0.87846,3027.74,2072.45,1203.04,Sedimentary rocks
1264.6,25.3031,98.818,98.8247,11.3555,1.6551,3.57439,4.0486,3.08723,1.27743,0.82717,3025.97,2072.45,1202.48,Sedimentary rocks
1264.7,25.7635,98.8259,98.8247,11.3564,1.65444,3.66127,3.98815,2.96333,1.59507,0.72248,3020.65,2082.49,1201.64,Sedimentary rocks
1264.8,25.2039,98.8331,98.838,11.3574,1.65464,3.72718,3.93979,2.89209,1.82989,0.59886,3011.83,2074.11,1201.36,Sedimentary rocks
