Depth,Gamma,Temp_1,Temp_2,P,Rmud,Rs,Rd,Th,U,K,Vs,Vp,INDEX
m,API,C,C,Mpa,Ohmm,Ohmm,Ohmm,ppm,ppm,%,m/s,m/s,Rock types
12.875,16.1214,28.4771,-999.25,-999.25,-999.25,-999.25,-999.25,1.8363,0.895272,0.251515,-999.25,-999.25,Basalt
12.975,15.9892,28.4771,-999.25,-999.25,-999.25,-999.25,-999.25,1.88037,0.944152,0.243003,-999.25,-999.25,Basalt
13.075,15.8741,28.4771,-999.25,-999.25,-999.25,-999.25,-999.25,1.91124,1.10339,0.232544,-999.25,-999.25,Basalt
13.175,16.2883,28.4771,-999.25,-999.25,-999.25,-999.25,-999.25,2.10006,1.30677,0.243706,-999.25,-999.25,Basalt
13.275,17.7359,28.4771,-999.25,-999.25,-999.25,-999.25,-999.25,2.64686,1.47126,0.291132,-999.25,-999.25,Basalt
13.375,20.4845,28.4618,-999.25,-999.25,-999.25,-999.25,-999.25,3.70294,1.51539,0.375168,-999.25,-999.25,Basalt
13.475,24.4123,28.4618,-999.25,-999.25,-999.25,-999.25,-999.25,5.18429,1.43493,0.479821,-999.25,-999.25,Basalt
13.575,29.1324,28.4618,-999.25,-999.25,-999.25,-999.25,-999.25,6.70103,1.33578,0.575953,-999.25,-999.25,Basalt
13.675,34.0613,28.4618,-999.25,-999.25,-999.25,-999.25,-999.25,7.82587,1.34113,0.640825,-999.25,-999.25,Basalt
13.775,38.6275,28.4618,-999.25,-999.25,-999.25,-999.25,-999.25,8.3899,1.4929,0.677516,-999.25,-999.25,Basalt
13.875,42.456,28.4618,-999.25,-999.25,-999.25,-999.25,-999.25,8.43323,1.77234,0.709328,-999.25,-999.25,Basalt
13.975,45.4944,28.4618,-999.25,-999.25,-999.25,-999.25,-999.25,8.20343,2.09229,0.76199,-999.25,-999.25,Basalt
14.075,47.8773,28.4466,-999.25,-999.25,-999.25,-999.25,-999.25,8.01265,2.35841,0.84072,-999.25,-999.25,Basalt
14.175,49.7278,28.4466,-999.25,-999.25,-999.25,-999.25,-999.25,8.12431,2.50692,0.920889,-999.25,-999.25,Basalt
14.275,51.0984,28.4466,-999.25,-999.25,-999.25,-999.25,-999.25,8.47424,2.56736,0.972871,-999.25,-999.25,Basalt
14.375,52.1207,28.4466,-999.25,-999.25,-999.25,-999.25,-999.25,8.7268,2.62737,0.980267,-999.25,-999.25,Basalt
14.475,52.8155,28.4466,-999.25,-999.25,-999.25,-999.25,-999.25,8.58374,2.74611,0.95376,-999.25,-999.25,Basalt
14.575,53.1926,28.4313,-999.25,-999.25,-999.25,-999.25,-999.25,7.94249,2.93472,0.917724,-999.25,-999.25,Basalt
14.675,53.2047,28.4313,-999.25,-999.25,-999.25,-999.25,-999.25,6.99699,3.12344,0.895728,-999.25,-999.25,Basalt
14.775,52.7693,28.4313,-999.25,-999.25,-999.25,-999.25,-999.25,5.99524,3.25193,0.89687,-999.25,-999.25,Basalt
14.875,52.0052,28.4313,-999.25,-999.25,-999.25,-999.25,-999.25,5.04731,3.35393,0.905057,-999.25,-999.25,Basalt
14.975,51.2666,28.4161,-999.25,-999.25,-999.25,-999.25,-999.25,4.23097,3.45998,0.908409,-999.25,-999.25,Basalt
15.075,50.962,28.4161,-999.25,-999.25,-999.25,-999.25,-999.25,3.61375,3.57466,0.904362,-999.25,-999.25,Basalt
15.175,51.3897,28.416,-999.25,-999.25,-999.25,-999.25,-999.25,3.16971,3.71143,0.888646,-999.25,-999.25,Basalt
15.275,52.543,28.4008,-999.25,-999.25,-999.25,-999.25,-999.25,2.86737,3.85095,0.868218,-999.25,-999.25,Basalt
15.375,54.0978,28.4008,-999.25,-999.25,-999.25,-999.25,-999.25,2.74886,3.93312,0.852566,-999.25,-999.25,Basalt
15.475,55.4208,28.4008,-999.25,-999.25,-999.25,-999.25,-999.25,2.89935,3.90014,0.843963,-999.25,-999.25,Basalt
15.575,56.0543,28.4008,-999.25,-999.25,-999.25,-999.25,-999.25,3.32409,3.7385,0.832504,-999.25,-999.25,Basalt
15.675,55.9127,28.3855,-999.25,-999.25,-999.25,-999.25,-999.25,3.85346,3.49208,0.805071,-999.25,-999.25,Basalt
15.775,54.9032,28.3855,-999.25,-999.25,-999.25,-999.25,-999.25,4.19305,3.22518,0.758227,-999.25,-999.25,Basalt
15.875,52.819,28.3855,-999.25,-999.25,-999.25,-999.25,-999.25,4.10713,2.99016,0.693535,-999.25,-999.25,Basalt
15.975,49.3463,28.3855,-999.25,-999.25,-999.25,-999.25,-999.25,3.54588,2.77981,0.621338,-999.25,-999.25,Basalt
16.075,44.3034,28.3855,-999.25,-999.25,-999.25,-999.25,-999.25,2.69788,2.54828,0.553566,-999.25,-999.25,Basalt
16.175,38.0467,28.3703,-999.25,-999.25,-999.25,-999.25,-999.25,1.84087,2.26148,0.508557,-999.25,-999.25,Basalt
16.275,31.409,28.3703,-999.25,-999.25,-999.25,-999.25,-999.25,1.2538,1.90509,0.500513,-999.25,-999.25,Basalt
16.375,25.4896,28.3703,-999.25,-999.25,-999.25,-999.25,-999.25,1.06864,1.52121,0.518463,-999.25,-999.25,Basalt
16.475,21.1316,28.355,-999.25,-999.25,-999.25,-999.25,-999.25,1.17637,1.22688,0.531115,-999.25,-999.25,Basalt
16.575,18.6185,28.355,-999.25,-999.25,-999.25,-999.25,-999.25,1.36493,1.11487,0.511667,-999.25,-999.25,Basalt
16.675,17.6719,28.355,-999.25,-999.25,-999.25,-999.25,-999.25,1.39923,1.22218,0.454932,-999.25,-999.25,Basalt
16.775,17.6505,28.355,-999.25,-999.25,-999.25,-999.25,-999.25,1.20889,1.47905,0.378359,-999.25,-999.25,Basalt
16.875,18.0319,28.3398,-999.25,-999.25,-999.25,-999.25,-999.25,0.894284,1.75246,0.309765,-999.25,-999.25,Basalt
16.975,18.5242,28.3398,-999.25,-999.25,-999.25,-999.25,-999.25,0.654092,1.89262,0.278862,-999.25,-999.25,Basalt
17.075,18.9241,28.3398,-999.25,-999.25,-999.25,-999.25,-999.25,0.68125,1.80407,0.302361,-999.25,-999.25,Basalt
17.175,19.1338,28.3245,-999.25,-999.25,-999.25,-999.25,-999.25,1.03501,1.50956,0.368035,-999.25,-999.25,Basalt
17.275,19.125,28.3245,-999.25,-999.25,-999.25,-999.25,-999.25,1.65369,1.11727,0.439103,-999.25,-999.25,Basalt
17.375,18.9809,28.3245,-999.25,-999.25,-999.25,-999.25,-999.25,2.3421,0.756451,0.485573,-999.25,-999.25,Basalt
17.475,18.7981,28.3245,-999.25,-999.25,-999.25,-999.25,-999.25,2.88423,0.517151,0.497375,-999.25,-999.25,Basalt
17.575,18.6372,28.3245,-999.25,-999.25,-999.25,-999.25,-999.25,3.08818,0.455214,0.474989,-999.25,-999.25,Basalt
17.675,18.5581,28.3092,-999.25,-999.25,-999.25,-999.25,-999.25,2.943,0.543856,0.432046,-999.25,-999.25,Basalt
17.775,18.5395,28.3092,-999.25,-999.25,-999.25,-999.25,-999.25,2.60696,0.692353,0.386157,-999.25,-999.25,Basalt
17.875,18.5094,28.3092,-999.25,-999.25,-999.25,-999.25,-999.25,2.24151,0.822873,0.354432,-999.25,-999.25,Basalt
17.975,18.3954,28.294,-999.25,-999.25,-999.25,-999.25,-999.25,1.94991,0.872871,0.358988,-999.25,-999.25,Basalt
18.075,18.1714,28.294,-999.25,-999.25,-999.25,-999.25,-999.25,1.74322,0.838123,0.405112,-999.25,-999.25,Basalt
18.175,17.8753,28.294,-999.25,-999.25,-999.25,-999.25,-999.25,1.59004,0.777513,0.469385,-999.25,-999.25,Basalt
18.275,17.5556,28.294,-999.25,-999.25,-999.25,-999.25,-999.25,1.47486,0.75145,0.52294,-999.25,-999.25,Basalt
18.375,17.3446,28.2787,-999.25,-999.25,-999.25,-999.25,-999.25,1.41313,0.782719,0.548221,-999.25,-999.25,Basalt
18.475,17.4156,28.2787,-999.25,-999.25,-999.25,-999.25,-999.25,1.52217,0.817017,0.545011,-999.25,-999.25,Basalt
18.575,17.8059,28.2635,-999.25,-999.25,-999.25,-999.25,-999.25,1.86767,0.792279,0.525817,-999.25,-999.25,Basalt
18.675,18.3761,28.2635,-999.25,-999.25,-999.25,-999.25,-999.25,2.38223,0.677904,0.510626,-999.25,-999.25,Basalt
18.775,18.8802,28.2635,-999.25,-999.25,-999.25,-999.25,-999.25,2.88515,0.490901,0.516908,-999.25,-999.25,Basalt
18.875,19.1319,28.2635,-999.25,-999.25,-999.25,-999.25,-999.25,3.12084,0.32507,0.549388,-999.25,-999.25,Basalt
18.975,19.1524,28.2482,-999.25,-999.25,-999.25,-999.25,-999.25,2.9491,0.274299,0.596832,-999.25,-999.25,Basalt
19.075,19.1516,28.2482,-999.25,-999.25,-999.25,-999.25,-999.25,2.43108,0.37861,0.635455,-999.25,-999.25,Basalt
19.175,19.3526,28.2482,-999.25,-999.25,-999.25,-999.25,-999.25,1.79157,0.591589,0.650654,-999.25,-999.25,Basalt
19.275,19.782,28.233,-999.25,-999.25,-999.25,-999.25,-999.25,1.26236,0.809587,0.645432,-999.25,-999.25,Basalt
19.375,20.2496,28.233,-999.25,-999.25,-999.25,-999.25,-999.25,0.979872,0.938853,0.631165,-999.25,-999.25,Basalt
19.475,20.4008,28.233,-999.25,-999.25,-999.25,-999.25,-999.25,0.944254,0.963681,0.614087,-999.25,-999.25,Basalt
19.575,19.9623,28.2329,-999.25,-999.25,-999.25,-999.25,-999.25,1.05062,0.932912,0.598686,-999.25,-999.25,Basalt
19.675,18.9849,28.2177,-999.25,-999.25,-999.25,-999.25,-999.25,1.2012,0.899943,0.588314,-999.25,-999.25,Basalt
19.775,17.7656,28.2177,-999.25,-999.25,-999.25,-999.25,-999.25,1.42223,0.84784,0.5882,-999.25,-999.25,Basalt
19.875,16.6746,28.2177,-999.25,-999.25,-999.25,-999.25,-999.25,1.75919,0.755423,0.593468,-999.25,-999.25,Basalt
19.975,16.0409,28.2024,-999.25,-999.25,-999.25,-999.25,-999.25,2.22337,0.616503,0.59363,-999.25,-999.25,Basalt
20.075,16.0578,28.2024,-999.25,-999.25,-999.25,-999.25,-999.25,2.79791,0.423594,0.587302,-999.25,-999.25,Basalt
20.175,16.6361,28.2024,-999.25,-999.25,-999.25,-999.25,-999.25,3.39788,0.197426,0.579973,-999.25,-999.25,Basalt
20.275,17.4826,28.2024,-999.25,-999.25,-999.25,-999.25,-999.25,3.86217,0.00798226,0.573722,-999.25,-999.25,Basalt
20.375,18.2797,28.1872,-999.25,-999.25,-999.25,-999.25,-999.25,4.10177,-0.10366,0.571481,-999.25,-999.25,Basalt
20.475,18.7591,28.1872,-999.25,-999.25,-999.25,-999.25,-999.25,4.08985,-0.121173,0.568561,-999.25,-999.25,Basalt
20.575,18.8659,28.1872,-999.25,-999.25,-999.25,-999.25,-999.25,3.88918,-0.0727585,0.565161,-999.25,-999.25,Basalt
20.675,18.769,28.1719,-999.25,-999.25,-999.25,-999.25,-999.25,3.60177,0.00262124,0.561781,-999.25,-999.25,Basalt
20.775,18.7192,28.1719,-999.25,-999.25,-999.25,-999.25,-999.25,3.4098,0.0513914,0.551854,-999.25,-999.25,Basalt
20.875,18.8873,28.1719,-999.25,-999.25,-999.25,-999.25,-999.25,3.43649,0.0647352,0.52522,-999.25,-999.25,Basalt
20.975,19.2223,28.1719,-999.25,-999.25,-999.25,-999.25,-999.25,3.62803,0.0816835,0.480027,-999.25,-999.25,Basalt
21.075,19.4565,28.1719,-999.25,-999.25,-999.25,-999.25,-999.25,3.82126,0.141827,0.425201,-999.25,-999.25,Basalt
21.175,19.288,28.1567,-999.25,-999.25,-999.25,-999.25,-999.25,3.82941,0.27239,0.374459,-999.25,-999.25,Basalt
21.275,18.6945,28.1567,-999.25,-999.25,-999.25,-999.25,-999.25,3.54109,0.479551,0.338584,-999.25,-999.25,Basalt
21.375,17.9086,28.1567,-999.25,-999.25,-999.25,-999.25,-999.25,3.00728,0.721362,0.322956,-999.25,-999.25,Basalt
21.475,17.1843,28.1566,-999.25,-999.25,-999.25,-999.25,-999.25,2.3763,0.95794,0.318192,-999.25,-999.25,Basalt
21.575,16.772,28.1414,-999.25,-999.25,-999.25,-999.25,-999.25,1.84437,1.15969,0.308404,-999.25,-999.25,Basalt
21.675,16.811,28.1414,-999.25,-999.25,-999.25,-999.25,-999.25,1.5198,1.31505,0.285219,-999.25,-999.25,Basalt
21.775,17.2299,28.1414,-999.25,-999.25,-999.25,-999.25,-999.25,1.37631,1.42154,0.254992,-999.25,-999.25,Basalt
21.875,17.8102,28.1414,-999.25,-999.25,-999.25,-999.25,-999.25,1.3106,1.47896,0.235177,-999.25,-999.25,Basalt
21.975,18.3658,28.1261,-999.25,-999.25,-999.25,-999.25,-999.25,1.29855,1.45052,0.241588,-999.25,-999.25,Basalt
22.075,18.7916,28.1261,-999.25,-999.25,-999.25,-999.25,-999.25,1.40789,1.29324,0.275327,-999.25,-999.25,Basalt
22.175,18.998,28.1261,-999.25,-999.25,-999.25,-999.25,-999.25,1.65791,1.02312,0.32859,-999.25,-999.25,Basalt
22.275,18.9666,28.1261,-999.25,-999.25,-999.25,-999.25,-999.25,2.00424,0.716117,0.388467,-999.25,-999.25,Basalt
22.375,18.7845,28.1109,-999.25,-999.25,-999.25,-999.25,-999.25,2.41217,0.436501,0.44476,-999.25,-999.25,Basalt
22.475,18.5385,28.1109,-999.25,-999.25,-999.25,-999.25,-999.25,2.80861,0.246003,0.485415,-999.25,-999.25,Basalt
22.575,18.2899,28.1109,-999.25,-999.25,-999.25,-999.25,-999.25,3.08728,0.187382,0.503473,-999.25,-999.25,Basalt
22.675,18.022,28.1109,-999.25,-999.25,-999.25,-999.25,-999.25,3.15319,0.259083,0.505089,-999.25,-999.25,Basalt
22.775,17.7469,28.0956,-999.25,-999.25,-999.25,-999.25,-999.25,3.0383,0.407094,0.500292,-999.25,-999.25,Basalt
22.875,17.5243,28.0956,-999.25,-999.25,-999.25,-999.25,-999.25,2.87905,0.559565,0.494612,-999.25,-999.25,Basalt
22.975,17.4219,28.0956,-999.25,-999.25,-999.25,-999.25,-999.25,2.79223,0.669778,0.488892,-999.25,-999.25,Basalt
23.075,17.4378,28.0804,-999.25,-999.25,-999.25,-999.25,-999.25,2.8162,0.716262,0.48873,-999.25,-999.25,Basalt
23.175,17.5703,28.0804,-999.25,-999.25,-999.25,-999.25,-999.25,2.94558,0.681193,0.505054,-999.25,-999.25,Basalt
23.275,17.8684,28.0804,-999.25,-999.25,-999.25,-999.25,-999.25,3.20284,0.516933,0.550753,-999.25,-999.25,Basalt
23.375,18.3628,28.0803,-999.25,-999.25,-999.25,-999.25,-999.25,3.67999,0.149833,0.634939,-999.25,-999.25,Basalt
23.475,18.9841,28.0651,-999.25,-999.25,-999.25,-999.25,-999.25,4.29018,-0.363364,0.744018,-999.25,-999.25,Basalt
23.575,19.6383,28.0651,-999.25,-999.25,-999.25,-999.25,-999.25,4.84564,-0.874555,0.84955,-999.25,-999.25,Basalt
23.675,20.2125,28.0651,-999.25,-999.25,-999.25,-999.25,-999.25,5.14018,-1.20934,0.916654,-999.25,-999.25,Basalt
23.775,20.5757,28.0498,-999.25,-999.25,-999.25,-999.25,-999.25,4.991,-1.21541,0.914181,-999.25,-999.25,Basalt
23.875,20.644,28.0498,-999.25,-999.25,-999.25,-999.25,-999.25,4.36019,-0.859609,0.835669,-999.25,-999.25,Basalt
23.975,20.5111,28.0498,-999.25,-999.25,-999.25,-999.25,-999.25,3.43076,-0.234688,0.690585,-999.25,-999.25,Basalt
24.075,20.3294,28.0498,-999.25,-999.25,-999.25,-999.25,-999.25,2.51774,0.488164,0.50608,-999.25,-999.25,Basalt
24.175,20.1816,28.0498,-999.25,-999.25,-999.25,-999.25,-999.25,1.86752,1.12106,0.327298,-999.25,-999.25,Basalt
24.275,20.0799,28.0346,-999.25,-999.25,-999.25,-999.25,-999.25,1.51972,1.5648,0.191702,-999.25,-999.25,Basalt
24.375,19.9924,28.0346,-999.25,-999.25,-999.25,-999.25,-999.25,1.37396,1.78968,0.127273,-999.25,-999.25,Basalt
24.475,19.9381,28.0346,-999.25,-999.25,-999.25,-999.25,-999.25,1.23385,1.82952,0.145433,-999.25,-999.25,Basalt
